generation_size = 	400 	winner: 	CPU 	0	37443485	200	782090
generation_size = 	800 	winner: 	CPU 	0	38473358	200	4838355
generation_size = 	1200 	winner: 	CPU 	0	40260251	200	9203714
generation_size = 	1600 	winner: 	CPU 	1	41153092	199	12678743
generation_size = 	2000 	winner: 	CPU 	2	42147128	198	15806885
generation_size = 	2400 	winner: 	CPU 	2	38644310	198	18688344
generation_size = 	2800 	winner: 	CPU 	7	39405142	193	20953394
generation_size = 	3200 	winner: 	CPU 	12	40574439	188	24552713
generation_size = 	3600 	winner: 	CPU 	18	41830937	182	27014102
generation_size = 	4000 	winner: 	CPU 	25	43009380	175	30608674
generation_size = 	4400 	winner: 	CPU 	35	41284463	165	31741432
generation_size = 	4800 	winner: 	CPU 	39	43459556	161	33578784
generation_size = 	5200 	winner: 	CPU 	49	41347562	151	36567505
generation_size = 	5600 	winner: 	CPU 	42	43271283	158	35254491
generation_size = 	6000 	winner: 	CPU 	44	44816903	156	39521391
generation_size = 	6400 	winner: 	CPU 	59	45708600	141	40611371
generation_size = 	6800 	winner: 	CPU 	62	47159090	138	43369740
generation_size = 	7200 	winner: 	CPU 	67	48536808	133	43880570
generation_size = 	7600 	winner: 	CPU 	66	49247683	134	48760231
generation_size = 	8000 	winner: 	CPU 	85	46752930	115	47356338
generation_size = 	8400 	winner: 	GPU 	102	47989225	98	51732235
generation_size = 	8800 	winner: 	CPU 	89	48522936	111	48628550
generation_size = 	9200 	winner: 	GPU 	105	49755043	95	54103164
generation_size = 	9600 	winner: 	GPU 	104	50885893	96	56266094
generation_size = 	10000 	winner: 	GPU 	100	51973053	100	56411872
generation_size = 	10400 	winner: 	CPU 	98	53038908	102	52854924
generation_size = 	10800 	winner: 	GPU 	115	54190855	85	58734474
generation_size = 	11200 	winner: 	GPU 	156	40247805	44	60787712
generation_size = 	11600 	winner: 	GPU 	159	42023535	41	62849492
generation_size = 	12000 	winner: 	GPU 	153	42926528	47	60365873
generation_size = 	12400 	winner: 	GPU 	158	44360887	42	64990483
generation_size = 	12800 	winner: 	GPU 	152	45788339	48	66002697
generation_size = 	13200 	winner: 	GPU 	164	46717291	36	68600798
generation_size = 	13600 	winner: 	GPU 	152	47228704	48	65266619
generation_size = 	14000 	winner: 	GPU 	162	48080570	38	69498682
generation_size = 	14400 	winner: 	GPU 	167	49385359	33	72564833
generation_size = 	14800 	winner: 	GPU 	166	50532220	34	72132720
generation_size = 	15200 	winner: 	GPU 	165	52194718	35	73270168
generation_size = 	15600 	winner: 	GPU 	173	53598272	27	76805853
generation_size = 	16000 	winner: 	GPU 	183	41516509	17	73052921
generation_size = 	16400 	winner: 	GPU 	175	43283905	25	75560812
generation_size = 	16800 	winner: 	GPU 	168	44848259	32	76139288
generation_size = 	17200 	winner: 	GPU 	179	47279489	21	82321764
generation_size = 	17600 	winner: 	GPU 	166	48139668	34	77235073
generation_size = 	18000 	winner: 	GPU 	165	49525065	35	80259269
generation_size = 	18400 	winner: 	GPU 	171	50879479	29	82009116
generation_size = 	18800 	winner: 	GPU 	164	56139437	36	83520248
generation_size = 	19200 	winner: 	GPU 	152	70736379	46	88291243
generation_size = 	19600 	winner: 	GPU 	134	75643832	62	87653173
